OBJECTID,GEOID10,Sum_ViolentCrime,Sum_PropertyCrime,Shape__Area,Shape__Length
1093,261635304001001,2,6,232628.402587891,2103.11503322972
1094,261635305001001,0,4,179377.845458984,1767.43454201963
1095,261635305001009,0,3,179542.577636719,1761.99605207576
1096,261635074002018,0,3,232745.94921875,2261.91414335146
1097,261635074002003,0,4,285478.310546875,2388.33099725205
1098,261635074002020,6,2,284506.75,2382.01426926773
1099,261635074004003,0,0,242643.935546875,2355.88929962425
1100,261635073002000,3,2,294296.102539063,2433.12760159733
1101,261635073001006,0,4,264917.848144531,2262.58843371921
1102,261635051002011,1,5,170913.471191406,1758.37176990416
1103,261635051002007,0,2,178606.517578125,1877.83176716057
1104,261635051004004,1,5,213903.711914063,2112.94338255149
1105,261635063003006,0,0,159716.4296875,1701.55652551571
1106,261635051005000,15,8,1176418.98388672,6958.78932316238
1107,261635113001009,0,0,170898.286132813,1812.2233494907
1108,261635113002010,3,4,203215.237304688,1916.09635107455
1109,261635113002014,0,1,101219.132324219,1423.34728285566
1110,261635113002012,1,1,164776.483398438,1672.29472911803
1111,261635106001001,1,1,172685.115234375,1722.56696809679
1112,261635106001023,0,0,183420.655761719,2102.23727585331
1113,261635110002007,0,6,1924523.60986328,6772.58275141872
1114,261635042004005,3,3,334557.950195313,5521.11692904707
1115,261635042004011,0,1,44424.1948242188,874.873562237041
1116,261635121003003,1,2,196346.775878906,1911.03195769867
1117,261635122001012,3,3,128600.234863281,2548.78085700086
1118,261635003004011,0,1,239414.095214844,2252.05273778399
1119,261635003001006,1,4,215758.120605469,1972.20616954736
