X,Y,OBJECTID,PARCEL_ID,addcombo,PROP_CITY_NM,PROP_STATE,PROP_ZIP_CD,FINAL_BID_AMT
13427214.41174541413784,314759.408136487007141,5184,22104819.,8841 PATTON,DETROIT,MI,48228,
13428637.446522310376167,312312.736876636743546,5185,22098590.024,8067 VAUGHAN,DETROIT,MI,48228,
13428642.423556432127953,312207.888123363256454,5186,22098590.027,8047 VAUGHAN,DETROIT,MI,48228,
13428946.749015748500824,312542.237860888242722,5187,22096997-8,8111 EVERGREEN,DETROIT,MI,48228,
13428948.928477689623833,312496.957020998001099,5188,22096999-7000,8103 EVERGREEN,DETROIT,MI,48228,
13427713.811023622751236,315647.457349076867104,5189,22102330-1,9090 FIELDING,DETROIT,MI,48228,
13427714.918963253498077,315602.502624675631523,5190,22102329.,9082 FIELDING,DETROIT,MI,48228,
13426481.84744094312191,313242.616141736507416,5191,22107308.,8410 BURT RD,DETROIT,MI,48228,
13426798.748031497001648,313417.662073493003845,5192,22106190-1,8442 PIERSON,DETROIT,MI,48228,
13426569.229986876249313,314217.501640424132347,5193,22107228.,8675 PIERSON,DETROIT,MI,48228,
13428489.477034121751785,316335.263451442122459,5194,22098517.,9261 VAUGHAN,DETROIT,MI,48228,
13427638.520997375249863,321565.461614176630974,5195,22101958.,12227 STOUT,DETROIT,MI,48228,
13428036.223097115755081,316066.015091866254807,5196,22101022-3,9224 STOUT,DETROIT,MI,48228,
13428052.20833332836628,315436.626640424132347,5197,22101006.,9044 STOUT,DETROIT,MI,48228,
13427654.535761147737503,337240.669619426131248,5198,22098165.,17541 VAUGHAN,DETROIT,MI,48219,
13427659.181430444121361,337135.821194231510162,5199,22098168.,17517 VAUGHAN,DETROIT,MI,48219,
13428096.729658797383308,318222.791338577866554,5200,22099885.009,9933 HEYDEN,DETROIT,MI,48228,18500
13428592.35170604288578,319298.625984251499176,5201,22097531.,11366 VAUGHAN ST,DETROIT,MI,48228,
13426271.184383198618889,320770.281496062874794,5202,22107119.010,20801 N PIERSON CT,DETROIT,MI,48228,
13426417.715879261493683,318212.631233602762222,5203,22107152.,9935 PIERSON,DETROIT,MI,48228,7500
13428601.633858263492584,319018.772965878248215,5204,22097523.,11310 VAUGHAN,DETROIT,MI,48228,
13427176.557414695620537,321462.933398947119713,5205,22103763.002L,12204 PATTON,DETROIT,MI,48228,3700
13428511.046916,315249.249015748500824,5206,22098547.,9003 VAUGHAN,DETROIT,MI,48228,
13426760.128280833363533,317839.494750648736954,5207,22003330.,20711 ORANGELAWN,DETROIT,MI,48228,28000
13426341.768044620752335,320389.200787395238876,5208,22107119.019,11755 PIERSON,DETROIT,MI,48228,
13426352.246719166636467,320196.790682420134544,5209,22107119.023,11715 PIERSON,DETROIT,MI,48228,
13427859.647965878248215,320764.75,5210,22101066.,12034 STOUT,DETROIT,MI,48228,
13426574.752952754497528,319222.5501968562603,5211,22106311.,11360 PIERSON,DETROIT,MI,48228,
13428648.833989500999451,317728.23523622751236,5212,22097500.,9602 VAUGHAN,DETROIT,MI,48228,
13428653.863845139741898,317603.834645673632622,5213,22097497.,9578 VAUGHAN,DETROIT,MI,48228,
13424685.391404196619987,338738.486876636743546,5214,22015471.,21149 PICKFORD,DETROIT,MI,48219,
13427380.330052495002747,342288.246062994003296,5215,22098079.,19431 VAUGHAN,DETROIT,MI,48219,
13426392.762467190623283,331113.771981626749039,5216,22105273.,15442 BRAILE,DETROIT,MI,48223,
13427298.379265084862709,330455.63976377248764,5217,22101274.,15324 STOUT,DETROIT,MI,48223,
13428029.080052495002747,316442.377624675631523,5218,22101033.,9276 STOUT,DETROIT,MI,48228,
13427278.958989500999451,337169.422244101762772,5219,22100318.,17528 KENTFIELD,DETROIT,MI,48219,
13426725.163057744503021,333015.24081364274025,5220,22103052.,16127 FIELDING,DETROIT,MI,48219,
13425849.096128612756729,342828.559383198618889,5221,22105454.,19716 BRAILE,DETROIT,MI,48219,
13426016.942585304379463,341323.29232282936573,5222,22104305.,19209 PATTON,DETROIT,MI,48219,
13426019.085958,341275.867125988006592,5223,22104306.,19199 PATTON,DETROIT,MI,48219,
13426592.018700793385506,318680.876312330365181,5224,22106299.,10024 PIERSON,DETROIT,MI,48228,9200
