OBJECTID,GEOID10,NAMELSAD10,SqMiles,Acres,CounciDist,Likely_Occupied,Potentially_Vacant,Likely_Vacant,VeryLikely_Vacant,Total_MCM_Parcel_Count,Pct_Likely_Occupied,Pct_Potentially_Vacant,Pct_Likely_Vacant,Pct_VeryLikely_Vacant
32,26163520200,Census Tract 5202,0.31897366,204.14314524,6,87,4,1,,92,94.5652173913043,4.34782608695652,1.08695652173913,
33,26163518800,Census Tract 5188,0.54651486,349.76951232,5,206,66,56,72,400,51.5,16.5,14,18
34,26163518600,Census Tract 5186,0.28633413,183.25384476,5,177,66,50,56,349,50.7163323782235,18.9111747851003,14.3266475644699,16.0458452722063
35,26163518500,Census Tract 5185,0.30906667,197.80266827,5,221,82,74,65,442,50,18.552036199095,16.7420814479638,14.7058823529412
36,26163518400,Census Tract 5184,0.40793469,261.07820187,5,122,55,39,56,272,44.8529411764706,20.2205882352941,14.3382352941176,20.5882352941176
37,26163518000,Census Tract 5180,0.32863085,210.32374503,5,94,16,3,4,117,80.3418803418803,13.6752136752137,2.56410256410256,3.41880341880342
38,26163517500,Census Tract 5175,0.42521932,272.14036846,5,54,9,3,,66,81.8181818181818,13.6363636363636,4.54545454545455,
39,26163517200,Census Tract 5172,0.63026737,403.37111736,5,150,21,10,3,184,81.5217391304348,11.4130434782609,5.43478260869565,1.6304347826087
40,26163517100,Census Tract 5171,0.10837733,69.36149202,5,25,,1,,26,96.1538461538462,,3.84615384615385,
41,26163517000,Census Tract 5170,0.22179522,141.94894479,5,31,5,1,,37,83.7837837837838,13.5135135135135,2.7027027027027,
43,26163514300,Census Tract 5143,0.77965222,498.97742479,4,626,151,109,245,1131,55.3492484526967,13.3510167992927,9.63748894783378,21.6622458001768
44,26163514100,Census Tract 5141,0.62148509,397.75045836,4,648,184,157,380,1369,47.3338203067933,13.4404674945215,11.4682249817385,27.7574872169467
45,26163513900,Census Tract 5139,0.49663857,317.84868631,5,399,95,87,193,774,51.5503875968992,12.2739018087855,11.2403100775194,24.9354005167959
