OBJECTID,GEOID10,NAMELSAD10,SqMiles,Acres,CounciDist,Likely_Occupied,Potentially_Vacant,Likely_Vacant,VeryLikely_Vacant,Total_MCM_Parcel_Count,Pct_Likely_Occupied,Pct_Potentially_Vacant,Pct_Likely_Vacant,Pct_VeryLikely_Vacant
16,26163516600,Census Tract 5166,0.26683558,170.77477591,5,25,6,1,,32,78.125,18.75,3.125,
17,26163516500,Census Tract 5165,0.51690662,330.82023618,5,73,17,14,4,108,67.5925925925926,15.7407407407407,12.962962962963,3.7037037037037
18,26163516400,Census Tract 5164,0.39787711,254.6413538,5,209,70,52,54,385,54.2857142857143,18.1818181818182,13.5064935064935,14.025974025974
19,26163516300,Census Tract 5163,0.23905901,152.99776769,5,185,65,43,52,345,53.6231884057971,18.8405797101449,12.463768115942,15.0724637681159
20,26163516200,Census Tract 5162,0.21822995,139.66717371,5,187,55,30,45,317,58.9905362776025,17.3501577287066,9.46372239747634,14.1955835962145
21,26163516100,Census Tract 5161,0.52099158,333.43461111,5,192,65,85,69,411,46.7153284671533,15.8150851581509,20.6812652068127,16.7883211678832
22,26163515700,Census Tract 5157,0.46643071,298.51565551,5,103,7,3,3,116,88.7931034482759,6.03448275862069,2.58620689655172,2.58620689655172
23,26163515600,Census Tract 5156,0.33393898,213.72094981,5,223,49,47,75,394,56.5989847715736,12.4365482233503,11.9289340101523,19.0355329949239
24,26163515400,Census Tract 5154,0.34844368,223.00395766,5,409,36,23,27,495,82.6262626262626,7.27272727272727,4.64646464646465,5.45454545454545
25,26163515300,Census Tract 5153,0.30699754,196.47843054,5,273,71,35,37,416,65.625,17.0673076923077,8.41346153846154,8.89423076923077
26,26163515200,Census Tract 5152,0.35888427,229.68593427,5,388,92,76,153,709,54.7249647390691,12.9760225669958,10.7193229901269,21.5796897038082
27,26163514500,Census Tract 5145,0.2177369,139.35162013,5,303,55,66,120,544,55.6985294117647,10.1102941176471,12.1323529411765,22.0588235294118
