OBJECTID,GEOID10,GlobalID,OCC_RES,OCC_BUS,VAC_RES,VAC_BUS,TotalAddresses,TotalOCC,TotalVAC,TotRES,TotBUS,PctVAC,Shape__Area,Shape__Length
2975,261635063001006,1866bb8c-f488-469c-ada5-001161c88c66,14,,5,,19,14,5,19,0,0.263157894736842,142544.351074219,1537.82085168407
2976,261635063001004,4b96a819-ae01-4f69-b6fe-6b66ffe4bf42,30,4,11,1,46,34,12,41,5,0.260869565217391,333705.352050781,2527.06688508939
2977,261635143001012,73048768-f923-4252-9155-d54a0bcb06d3,12,,15,,27,12,15,27,0,0.555555555555556,1083737.40087891,6671.2493748874
2978,261635044003011,808efd53-ba19-4b9e-b6d8-b4070486999c,4,6,1,,11,10,1,5,6,0.0909090909090909,177901.695800781,1823.61650316021
2979,261635044002007,199c54ea-1c92-43eb-96e4-cbd008314eed,15,,21,,36,15,21,36,0,0.583333333333333,246251.043457031,2268.98284707579
2980,261635043002005,11e26c1d-1e4b-4eff-9341-b1f99fad64c6,29,,16,,45,29,16,45,0,0.355555555555556,246066.674316406,2265.83229085447
2981,261635040002011,47960d99-1e56-4b5a-af80-e64647055094,28,,6,,34,28,6,34,0,0.176470588235294,292553.029296875,2338.87707080705
2982,261635043001000,d8043b31-dbec-467f-ae42-dca06563e4be,13,1,4,1,19,14,5,17,2,0.263157894736842,280148.893554688,2312.54811255159
2983,261635042002008,e99c3266-a4d3-44d9-a9df-8cec98e14863,13,1,19,,33,14,19,32,1,0.575757575757576,339401.942382813,2487.56805891675
2984,261635041002006,cce38268-60e9-4711-b5be-7fc01c7585dc,1,,8,,9,1,8,9,0,0.888888888888889,192769.596191406,1869.97659915375
2985,261635041002005,a3665f84-c28f-408e-9bb1-28bcd980c789,2,,12,,14,2,12,14,0,0.857142857142857,197460.334960938,1897.26673384249
2986,261635168002009,548453d5-b9ea-47fa-83a7-5f893b7678ce,10,,10,,20,10,10,20,0,0.5,216268.283935547,2103.2282947348
2987,261635168001003,f0966637-03d4-4ba4-8cb0-e2d83c16f896,10,,9,1,20,10,10,19,1,0.5,215811.045898438,2101.6842386236
2988,261635168001006,0ecb0f87-f501-45ff-8d5c-e7a0e1089884,11,,10,,21,11,10,21,0,0.476190476190476,216321.477294922,2104.31227758718
2989,261635168001008,df5172fe-ad02-4051-9687-da3b9676c5d5,6,2,2,,10,8,2,8,2,0.2,130902.504150391,1518.67502640575
2990,261635008002004,2ad65eaa-8f35-456d-99a5-b333d0a669be,58,,10,,68,58,10,68,0,0.147058823529412,464966.455078125,3608.63040029892
2991,261635008001002,b41de316-ee70-40dd-8abf-26833b0545d2,14,,1,,15,14,1,15,0,0.0666666666666667,97142.8881835938,1646.42349592847
2992,261635009001014,a73077c7-ba5f-49de-8e6b-403066ec8e69,10,,9,,19,10,9,19,0,0.473684210526316,161354.247070313,1711.82048739252
2993,261635015001003,dc4cc56d-7a98-428d-b7e8-8696bc17b59e,22,,6,,28,22,6,28,0,0.214285714285714,188034.171875,1804.85470712715
2994,261635105002002,57e46330-2d4e-48c4-87a5-8eb25e0f4839,20,,1,,21,20,1,21,0,0.0476190476190476,111562.704101563,1364.20997466099
2995,261635003003002,218040f3-f9fa-4b1c-b201-b8fcb5e16d7a,10,4,13,1,28,14,14,23,5,0.5,397778.340820313,2992.91635569464
2996,261635365003016,a8492331-1966-44e4-b389-0bf8618e8e9e,10,,3,,13,10,3,13,0,0.230769230769231,195723.791992188,2206.68674203029
2997,261635309001000,4b2de7e7-38b8-4bc8-8009-08811e84c6e8,67,,36,,103,67,36,103,0,0.349514563106796,428880.683349609,3695.8154865973
2998,261635223002043,32c45065-8d91-4bf1-86fc-c45c0edf2156,,2,,1,3,2,1,0,3,0.333333333333333,147183.119384766,1765.21250697607
2999,261635257002007,24fa2b58-3dcc-4501-8488-4b61ccb065a3,30,1,3,,34,31,3,33,1,0.0882352941176471,296571.291992188,2188.62524877994
3000,261635224001029,a5fbd176-005c-4214-b42b-49b3d1356140,1,,7,2,10,1,9,8,2,0.9,340356.317626953,3758.79860363921
3001,261635250002028,635134a5-ce3e-4002-866b-b6d04ccc37d2,,,,1,1,0,1,0,1,1,189546.463134766,1764.37188393501
3002,261635142002002,eec6b3b8-adfd-4d82-8349-f80d9ecace8a,13,,18,,31,13,18,31,0,0.580645161290323,344990.07421875,2687.43197373411
3003,261635142004001,d5b427e7-0547-4383-910c-622765822578,5,,2,,7,5,2,7,0,0.285714285714286,112608.764892578,1420.81121820591
3004,261635402005004,a572580b-f331-4a42-b89c-51f4b7def5fc,5,,5,,10,5,5,10,0,0.5,116509.458984375,1728.67034183599
3005,261635407002003,a438403d-6cb1-4c4f-a6c9-30afb7b85d5f,17,,9,,26,17,9,26,0,0.346153846153846,220108.665039063,1995.29615204941
3006,261635378002000,e979599a-9c53-449f-a103-391a88d5d83a,,5,,2,7,5,2,0,7,0.285714285714286,479557.850830078,3450.58813726316
3007,261635370003003,0602eb7d-ec9f-47ea-aec5-0a0e59fc066e,35,,3,,38,35,3,38,0,0.0789473684210526,213007.908203125,1980.2638914536
3008,261635371003012,4a001176-ee8d-4243-b186-8684fa3e14df,30,,13,,43,30,13,43,0,0.302325581395349,279810.522949219,2498.81982754767
3009,261635372001002,6f0c4e10-e193-4f21-9bb0-23242a87eaf5,16,6,13,2,37,22,15,29,8,0.405405405405405,2417312.87744141,8267.99926616105
3010,261635371003016,78e54bcf-c01e-40c2-a69f-1a534075bb5b,15,,7,,22,15,7,22,0,0.318181818181818,171506.224121094,1710.73442716946
3011,261635392001000,e3f5e4e8-00eb-4743-9a9d-976df92b263e,39,,1,,40,39,1,40,0,0.025,243247.459472656,2244.55797070107
3012,261635391002013,1c1b79f0-d262-480b-8476-58903e134e5d,32,,4,,36,32,4,36,0,0.111111111111111,243865.200683594,2257.30070198982
3013,261635388001010,8da15193-94e2-4029-9771-0fdc95dec819,21,,,,21,21,0,21,0,,195050.15234375,1919.67757125193
3014,261635387003019,35094615-c4c7-4f14-8895-f815ceb5ea5f,28,,1,,29,28,1,29,0,0.0344827586206897,187897.927246094,1888.85265893698
3015,261635387003015,a86fc4bb-0bb1-4144-9920-d23093b0761a,28,,,,28,28,0,28,0,,193226.948730469,1905.34489205024
3016,261635387002002,a9fc5b25-9cb9-418c-adb7-597dfea18923,29,,2,,31,29,2,31,0,0.0645161290322581,187941.91015625,1892.34362702994
3017,261635402006008,566433a8-bcec-459f-a211-55877caa83cc,14,,13,,27,14,13,27,0,0.481481481481481,189827.697265625,1899.80588343939
3018,261635402006012,5df0077e-5dd6-4c48-aeef-fc75a695404a,8,3,4,,15,11,4,12,3,0.266666666666667,188788.161621094,1895.00669883548
3019,261635402006005,b9451962-d9f3-402b-bf8a-ae520712078a,20,,3,,23,20,3,23,0,0.130434782608696,192883.616699219,1908.26912263242
3020,261635405004005,7c2c1805-4575-4e48-9ac6-be2fcba0f371,38,3,4,,45,41,4,42,3,0.0888888888888889,379578.643066406,2864.72831606107
3021,261635405002003,5f11839d-853b-4f71-91e8-87881c8b59e1,30,,4,,34,30,4,34,0,0.117647058823529,264460.115234375,2236.18578645311
3022,261635403005008,7117e7cd-7dbf-4807-aa0e-b3f186be65b3,21,,,,21,21,0,21,0,,187503.221679688,1899.23386968858
3023,261635403004000,2a203263-dafb-4b14-b475-21e7db3fd5ce,25,,4,,29,25,4,29,0,0.137931034482759,222739.842773438,2003.7678447307
3024,261635404004007,431448f6-91ce-46d2-81b9-d7ae5d7ccbe6,13,,,,13,13,0,13,0,,117311.77734375,1665.09623107023
3025,261635403003005,b9e2fcbb-742c-4438-b316-0c6e24913be6,25,,1,,26,25,1,26,0,0.0384615384615385,186510.645996094,1884.43419703479
3026,261635401001037,527eb5b2-8019-436f-b465-74474c991e3a,23,,4,,27,23,4,27,0,0.148148148148148,203829.958984375,1936.51484115926
3027,261635387003012,5504c7c0-fbe3-4495-84c4-0ceb1f02ea82,32,,1,,33,32,1,33,0,0.0303030303030303,192489.280273438,1898.25464792932
3028,261635386006006,cd139182-3926-4760-9b48-de49c51ac7ab,13,7,2,2,24,20,4,15,9,0.166666666666667,189818.166015625,1889.51143421397
3029,261635014001016,3807be80-a1ca-4407-be3d-4688b1328ea2,25,,1,,26,25,1,26,0,0.0384615384615385,221380.310058594,1956.36706682781
3030,261635165001002,480b2da9-eaae-4a9c-b6b1-f8746bea456e,2,5,,1,8,7,1,2,6,0.125,781339.917724609,4679.82004726657
3031,261635143001017,e812dd27-2542-49ae-8afe-235986944bf6,23,2,5,,30,25,5,28,2,0.166666666666667,247699.580078125,2335.21055131078
3032,261635126003002,5766962d-b86d-4dfa-b607-4508b63d4416,36,2,13,2,53,38,15,49,4,0.283018867924528,576417.711181641,4358.67322670153
3033,261635263001012,9ab4368c-88f0-460a-a25a-edfaeb52d50d,8,,2,,10,8,2,10,0,0.2,91552.5866699219,1228.82918269156
3034,261635143003000,0d478123-3e8a-4d2f-a9e1-4e659f96bd08,8,2,1,2,13,10,3,9,4,0.230769230769231,327783.903320313,2632.20853995254
3035,261635143002004,45152d21-c512-4eed-9c09-9a00d1ae3732,18,,7,,25,18,7,25,0,0.28,285251.614746094,2601.21523622963
3036,261635143003020,1bc6c617-0ffc-4fee-8920-5da3fc197e53,12,,6,1,19,12,7,18,1,0.368421052631579,197884.390869141,1828.86244748747
3037,261635036002006,92cca240-37be-4edd-8218-22afe8e8b979,11,2,10,2,25,13,12,21,4,0.48,230473.881835938,2122.39097213643
3038,261635054001005,32c6c5b4-ce72-4945-9967-0846c260f9e8,21,,5,,26,21,5,26,0,0.192307692307692,205494.104980469,1922.52507223589
3039,261635054003002,c43ac19a-99e6-4f54-9bb7-57b7d28d2801,6,1,11,,18,7,11,17,1,0.611111111111111,242363.014648438,2363.33913956863
3040,261635048002016,a971ecdf-9e09-4002-93b6-20cc7a01487e,,1,13,,14,1,13,13,1,0.928571428571429,284182.590332031,2531.75083486993
3041,261635048001012,b72ab8c3-13cd-4072-b416-7ee7135461e0,1,,3,,4,1,3,4,0,0.75,354215.545898438,3037.81347481015
3042,261635052004007,e9bf0b80-1bae-4dc6-9fbf-7dce3031482e,26,,4,,30,26,4,30,0,0.133333333333333,216726.985839844,1976.99816177442
3043,261635047003000,41d09233-6783-4488-83b6-9133807adff6,8,5,6,2,21,13,8,14,7,0.380952380952381,383359.991699219,3070.28006359834
3044,261635047003001,e5a6a266-8576-4fa6-a33e-ff43ccdf3e45,27,,8,1,36,27,9,35,1,0.25,376004.703613281,3066.36240838569
3045,261635121004006,e16648af-74d5-41c1-bd3c-344fe6460686,4,,4,,8,4,4,8,0,0.5,141017.842773438,1599.12501369733
3046,261635013004012,d87be1b9-66bc-4204-9279-6ba438739fbc,19,1,8,,28,20,8,27,1,0.285714285714286,204839.584960938,1958.97905799054
3047,261635124003007,2d755daa-6a34-417b-b995-25017879ee5e,16,,8,,24,16,8,24,0,0.333333333333333,236309.43359375,2076.53514561795
3048,261635124002006,19a4f5fb-279e-440c-8381-e33ca791f37a,2,,2,,4,2,2,4,0,0.5,206546.594238281,2026.03781498593
3049,261635012002010,fadbbc4a-e733-4c28-b679-c3da9e521933,8,,18,,26,8,18,26,0,0.692307692307692,187864.045898438,1913.55858410191
3050,261635330002007,40528387-b2a8-490a-a7d4-f70d7ddff34a,31,,7,,38,31,7,38,0,0.184210526315789,389500.393310547,2573.83029130597
3051,261635330001010,0ed1a8a0-2248-4476-81e8-8d071247db2c,,2,,,2,2,0,0,2,,375512.950927734,2871.10115829887
3052,261635107001002,681466f4-017b-45b4-a92b-302a2e0b9172,10,,5,,15,10,5,15,0,0.333333333333333,171238.359863281,1868.40633982601
3053,261635110003023,19c5f3c5-ffe7-40b4-a500-672e552ee61d,24,1,10,,35,25,10,34,1,0.285714285714286,256078.869140625,2274.99162037588
3054,261635048002003,71bfbe40-c2e5-4900-8aec-c0946d6bb926,,2,,2,4,2,2,0,4,0.5,197364.050292969,2168.9824398147
3055,261635110003033,d0a8e0e6-03b8-4f9b-8bba-f9a5bfff9575,5,1,3,,9,6,3,8,1,0.333333333333333,238456.240722656,2225.95284485468
3056,261635048002022,496c85b5-ea30-45ed-b3cb-584f069008f9,5,1,2,,8,6,2,7,1,0.25,227243.126953125,2151.26405683521
3057,261635048001014,0ae98735-a181-4e77-8721-0f31989f2611,6,1,4,1,12,7,5,10,2,0.416666666666667,253686.956542969,2389.64706770602
3058,261635048002017,b29349ce-6206-42d4-90d0-e9ef96ed8e05,2,,5,,7,2,5,7,0,0.714285714285714,363224.583984375,3044.86210656306
3059,261635048001005,fe20c6bb-c015-45ac-abe3-d810ea21f5b2,,,5,,5,0,5,5,0,1,290087.505859375,2594.39141040025
3060,261635346003008,164a9881-6505-449a-b7c6-ecbf8e4bf0f6,16,1,12,1,30,17,13,28,2,0.433333333333333,207429.406005859,2055.10510487205
3061,261635345001014,f100d9ee-3761-457b-98fb-2150262983d4,,2,,,2,2,0,0,2,,44979.0769042969,995.450352280823
3062,261635071003010,b47e8154-a4aa-47a3-a281-fb2dbec2d2ed,11,1,4,1,17,12,5,15,2,0.294117647058824,211537.540527344,2095.86957523103
3063,261635114003002,00a25e54-b56a-4385-aeaf-e47ca2e7cba2,4,,7,,11,4,7,11,0,0.636363636363636,141910.784179688,2116.46032971221
3064,261635104003001,aea342a8-c1ec-4985-8285-e3e2b1b83c3c,1,1,4,1,7,2,5,5,2,0.714285714285714,473419.53515625,3146.33488235459
3065,261635104003004,efbeeb47-a209-480e-9d50-11fac964c73a,22,,12,,34,22,12,34,0,0.352941176470588,304133.325195313,2808.99603323869
3066,261635104002021,ce66ccbe-a376-4cef-995f-93a0f4b66495,15,,5,,20,15,5,20,0,0.25,303273.242675781,2812.07617179557
3067,261635104002027,4b8cbc68-bba9-4dd7-9b67-67e22e934877,6,2,3,7,18,8,10,9,9,0.555555555555556,237902.056152344,2321.70832087417
3068,261635368001006,2f58d3cd-042e-4654-acd7-2e2c433df0f1,21,,8,,29,21,8,29,0,0.275862068965517,190442.071289063,1885.89273102268
3069,261635368001008,c498c9ce-b0da-4d66-a402-853de1bef1ad,20,,7,,27,20,7,27,0,0.259259259259259,191155.2578125,1888.53468296721
3070,261635368001010,ed1100cb-901b-42cf-a7bb-8f872a23d87e,7,1,1,,9,8,1,8,1,0.111111111111111,127004.890625,2009.41006880567
3071,261635462003014,7dd5a3f0-3afa-47f8-a4a9-db7a8713df51,44,,1,,45,44,1,45,0,0.0222222222222222,391091.450195313,3123.08131391398
3072,261635462004000,abace678-8a22-4bd3-9def-88e61cf0eced,35,,5,,40,35,5,40,0,0.125,283732.868408203,2387.91222716235
3073,261635047002015,bf7cd638-c739-4617-bb95-1e713c9549be,8,,6,,14,8,6,14,0,0.428571428571429,191190.782714844,1887.40327622769
3074,261635047002016,4a5c6db9-862d-4cc9-8732-569fcdd299f7,22,,4,,26,22,4,26,0,0.153846153846154,191252.8984375,1885.35051139628
3075,261635055001012,93d66e69-185e-4817-ae89-7277479334f3,13,,7,,20,13,7,20,0,0.35,375087.392578125,3061.88823245109
3076,261635387001001,6e918de4-8082-442f-820c-7d086d633638,24,,4,,28,24,4,28,0,0.142857142857143,192910.581054688,1901.91563936649
3077,261635387001019,3b9f1890-deb5-4d88-b116-1460657a2e63,24,1,,5,30,25,5,24,6,0.166666666666667,205470.202636719,1951.12917149515
3078,261635387001016,be751767-1aba-4347-b1fd-e063648c6a14,30,,2,,32,30,2,32,0,0.0625,194472.6640625,1911.57992728758
3079,261635387001014,ea10459a-70d7-4837-8d8e-34ad57cf0278,20,4,8,5,37,24,13,28,9,0.351351351351351,194731.6953125,1911.92780440615
3080,261635390003008,7c6957ce-cf33-4d2d-a581-20621442194f,30,,8,,38,30,8,38,0,0.210526315789474,294694.369628906,2440.70770047514
3081,261635389001001,a88b0906-0a3f-4bc9-950b-60e1cca92c30,85,,,,85,85,0,85,0,,245276.03515625,2200.20622154926
3082,261635389003009,5947be43-0822-4324-acf8-8e319902e2e3,25,,1,,26,25,1,26,0,0.0384615384615385,204261.3828125,1907.67206566552
3083,261635389003024,5ed32f80-2354-4c4c-bd4d-89aa98684617,29,,2,,31,29,2,31,0,0.0645161290322581,214664.809082031,1961.63745435111
3084,261635386004001,9a1df925-3979-42cd-9565-f0d6bb88b80a,29,,,,29,29,0,29,0,,223538.148925781,1990.25237225853
3085,261635386006005,8401cb13-ff74-4597-b891-1c4019ac3662,33,,,,33,33,0,33,0,,193870.323730469,1901.89554744419
3086,261635065002013,18e3203f-91e7-4801-9b58-f4fabae6c1c2,13,,7,,20,13,7,20,0,0.35,193290.615234375,1909.97233313082
3087,261635411003003,f5aaaf4a-f468-4801-bf9f-a4b41447193b,21,,16,,37,21,16,37,0,0.432432432432432,334092.481933594,2703.88964792289
3088,261635327001003,0b0d563e-aecb-445d-99de-b4376afd934c,14,1,21,,36,15,21,35,1,0.583333333333333,282341.534423828,2406.23462880542
3089,261635232002004,14180ad1-e059-4034-b814-8dbd893d4b47,30,,7,,37,30,7,37,0,0.189189189189189,183510.214599609,1780.93960482261
3090,261635232001011,e9134eb3-cac4-48fb-add3-12c426809312,16,2,1,,19,18,1,17,2,0.0526315789473684,201457.718994141,1897.8461515107
3091,261635232002009,13b0c016-3931-40e8-b19c-dae5d33d5302,1,5,2,1,9,6,3,3,6,0.333333333333333,189433.102783203,1808.79960880898
3092,261635324001005,86423be3-0ae4-4024-8f57-87d1b92104aa,115,1,36,,152,116,36,151,1,0.236842105263158,311011.988525391,2491.19243959752
3093,261635339002000,cfe0da22-b404-4a31-a860-9bfc4ddddebb,18,,7,,25,18,7,25,0,0.28,244555.953369141,2036.71875402322
3094,261635326003007,da4c8390-53fd-4869-86b5-1d68d6af882c,31,4,9,,44,35,9,40,4,0.204545454545455,312586.256103516,2594.0316552694
3095,261635051001001,9b53f8db-0ba9-421e-8abd-e5c3aba677d5,,6,,,6,6,0,0,6,,4105643.5234375,13386.5777945668
3096,261635185001002,17d70387-b100-47f0-aab1-715fc4c2edd3,1,,3,,4,1,3,4,0,0.75,41916.8088378906,851.350589946482
3097,261635417001002,fd1b87f7-b288-4133-ba8f-2082bb6778d7,155,2,1,,158,157,1,156,2,0.00632911392405063,1563087.67041016,7381.73223221241
3098,261635362002018,cf139072-f89f-46ab-8963-53fdc088d731,35,,8,,43,35,8,43,0,0.186046511627907,250711.23828125,2293.60862362284
3099,261635362002020,eab9ff1b-8226-482c-b106-5e1cf7a7164f,34,,10,,44,34,10,44,0,0.227272727272727,252852.688476563,2307.22899735952
3100,261635362001003,35c22fbb-4f51-4967-b0ad-8872e1dd83ee,38,4,,,42,42,0,38,4,,259917.715332031,2355.69192023278
3101,261635367002005,21dda802-e5ad-4e96-94ea-1366a392b9a5,7,,2,1,10,7,3,9,1,0.3,231450.795898438,2181.25282959706
3102,261635367002007,b464fc0e-344b-4a85-ab37-9e8d7da849f4,17,,9,,26,17,9,26,0,0.346153846153846,145256.549804688,1584.09349295668
3103,261635371001010,99016b05-5eab-421a-be0c-3c9f5a3ee16d,,6,,,6,6,0,0,6,,573890.241699219,3682.65166420877
3104,261635366001003,cad50ac8-3170-450a-80a8-da01c48e43aa,,6,,2,8,6,2,0,8,0.25,1217541.75439453,4698.8185602514
3105,261635368001014,454546b1-7efc-43bd-b017-ed160f9028d0,8,3,6,7,24,11,13,14,10,0.541666666666667,190527.714355469,1895.62300606709
3106,261635367001004,c96c6a80-80d4-4084-9ea1-3d1259315d52,33,,13,,46,33,13,46,0,0.282608695652174,238015.603515625,2229.08299350324
3107,261635367001007,8f388b27-c03c-4b49-afeb-b0a7920bc29d,26,,15,,41,26,15,41,0,0.365853658536585,285593.462402344,2561.05740693208
3108,261635367001008,0cc77681-c131-4d48-b486-559a9eba5121,19,,10,,29,19,10,29,0,0.344827586206897,285812.646484375,2562.13722355862
3109,261635366001014,34ea709a-ff1b-4e37-943c-2def2a36f31d,10,,5,,15,10,5,15,0,0.333333333333333,183099.599365234,1728.97298070096
3110,261635361003006,867a2fba-0971-4679-8f4d-bd97b47185d6,26,,3,,29,26,3,29,0,0.103448275862069,202155.1171875,1896.24081113065
3111,261635443003010,0e8864f0-9031-443d-b83e-84ee81337eff,21,,1,,22,21,1,22,0,0.0454545454545455,363251.342773438,3888.89405364806
3112,261635364003005,f475cc97-92fa-4459-a93b-89aac6b11106,19,,8,,27,19,8,27,0,0.296296296296296,346256.486816406,3153.51349677242
3113,261635364002008,700fb1bc-2655-4dcd-95c9-ea02f92d5c7d,26,2,16,,44,28,16,42,2,0.363636363636364,276201.355957031,2547.25712102958
3114,261635365001005,05b555b4-d8ce-445e-8e35-7586faba4d6d,,1,,,1,1,0,0,1,,745090.578125,3742.28719826035
3115,261635364001007,404c56cd-88b0-4658-be12-4e9dcc78d0a3,31,,4,2,37,31,6,35,2,0.162162162162162,275416.203613281,2541.02894662741
3116,261635440002027,a9953483-18b1-4e6b-8438-9790c9d6f28f,7,,2,,9,7,2,9,0,0.222222222222222,65766.3354492188,1324.3777352969
3117,261635440002026,73ea1cb9-7ef5-49ef-9499-2e563fe54a61,23,,,,23,23,0,23,0,,176159.070068359,1730.79007298591
3118,261635440002031,5878269f-9aed-4ed7-a5d5-48d3013d1bde,39,,1,,40,39,1,40,0,0.025,289218.043945313,2433.92617685812
3119,261635396001004,75281ab7-5c62-4c9f-8dfd-bf21a8cc5db0,29,,5,,34,29,5,34,0,0.147058823529412,212374.286132813,1963.21299345487
3120,261635404002000,e758e695-36ad-4eb9-b966-05e3d7a19fa6,27,,2,,29,27,2,29,0,0.0689655172413793,225965.24609375,2056.12634208803
3121,261635404002011,e3b2be6e-21cc-484d-8b67-7e3a72cb35fc,24,,1,,25,24,1,25,0,0.04,198095.884277344,1871.28244827467
3122,261635404002013,8b71f0c9-6bd0-4424-a6a8-b8cb6c13a74c,23,7,1,,31,30,1,24,7,0.032258064516129,193264.405273438,1908.04483124504
3123,261635440001003,7bea3397-7a60-48e5-a185-e1416951b7df,18,,,,18,18,0,18,0,,160293.671386719,1659.29302283397
3124,261635440002016,baaee981-3865-419c-858e-99ca39835c52,16,,3,,19,16,3,19,0,0.157894736842105,140664.514648438,1672.7157780279
3125,261635440002020,8632e344-1db9-4fe2-8542-3a919afaa571,16,,,,16,16,0,16,0,,139687.225585938,1485.72407734048
3126,261635463001005,00bc4489-0182-420a-b0c7-3994b603a592,33,,2,,35,33,2,35,0,0.0571428571428571,262432.906738281,2356.75900002164
3127,261635463002016,b89d70af-1b47-45f5-a7f6-4eb50b27daa7,36,,2,,38,36,2,38,0,0.0526315789473684,282663.606689453,2418.95719116736
3128,261635438001012,c5fdc89c-ac17-4fa7-a59c-1ce94e1ab9fd,10,,11,,21,10,11,21,0,0.523809523809524,257965.091796875,2233.14846657657
3129,261635462004005,15a8691c-fb7a-4931-b1b7-bfb44643047e,28,2,4,1,35,30,5,32,3,0.142857142857143,281626.040527344,2394.44124427771
3130,261635462001004,61ec3e53-619f-4fea-9da8-42f908d0256c,41,2,5,2,50,43,7,46,4,0.14,285447.237304688,2403.34821524119
3131,261635460003000,4075dac9-92ef-47c9-9989-5ef8798fb102,13,2,7,1,23,15,8,20,3,0.347826086956522,222073.401611328,2002.17276311034
3132,261635439002029,0505daf5-eb45-4341-a9ce-685d0534d81f,4,,8,,12,4,8,12,0,0.666666666666667,135930.623291016,1507.40211140133
3133,261635437002013,83a238b5-209f-4cf8-a3eb-1b8116949510,13,,7,,20,13,7,20,0,0.35,245898.240478516,2311.09994583288
3134,261635361001005,fcf8d0f7-21a5-4c22-83ba-8e1d06beafa6,86,1,47,1,135,87,48,133,2,0.355555555555556,799167.210449219,5922.5773198443
3135,261635464001007,a83abfff-7ec2-4898-9cf2-e204f487101b,23,,13,,36,23,13,36,0,0.361111111111111,294874.566650391,2379.50494861177
3136,261635465002006,9e93214f-3952-42ba-a957-24905d8f0416,38,,,,38,38,0,38,0,,311463.886230469,2500.52108091811
3137,261635465001002,e05914ff-806e-48a8-8845-5f59ee72e6b8,21,,1,,22,21,1,22,0,0.0454545454545455,194197.276123047,1799.1214910653
3138,261635427001029,00325ac9-06fb-414f-88b7-2a67741070e1,34,1,9,1,45,35,10,43,2,0.222222222222222,280245.701416016,2347.96277784656
3139,261635468001003,f83951b5-e881-4214-b7ce-846156e4da07,7,,3,,10,7,3,10,0,0.3,87477.6623535156,1307.1996286598
3140,261635468001005,a9ce462a-6ee5-49db-a5d8-60f397d99aa2,23,,17,,40,23,17,40,0,0.425,276598.075927734,2336.43872107798
3141,261635468001004,c00a6786-683b-46a7-baa1-eff76215042c,21,,12,,33,21,12,33,0,0.363636363636364,291177.670898438,2536.91269964633
3142,261635469001035,7d2ca849-87b9-4125-af45-956066e52692,,20,,14,34,20,14,0,34,0.411764705882353,954584.876464844,7644.49030479343
3143,261635468001011,e46ed614-1d68-4145-820a-f43d2e9c3e5f,12,,8,,20,12,8,20,0,0.4,174506.689697266,1878.42386132825
3144,261635468004002,a360f7ef-cbea-4d7d-934d-b28057b779e0,27,2,7,,36,29,7,34,2,0.194444444444444,285728.785644531,2404.59921238425
3145,261635468004008,89e88b41-c27e-4770-95b8-e58195c0ddc5,28,,6,,34,28,6,34,0,0.176470588235294,281581.213378906,2397.27857270644
3146,261635468003000,0d7b023e-5323-4364-99d4-f62736998e38,28,2,4,1,35,30,5,32,3,0.142857142857143,295343.564697266,2424.81171684762
3147,261635469001022,9e3c3ed4-eb8f-41fb-a059-04006fe46ca7,,4,,2,6,4,2,0,6,0.333333333333333,102699.214355469,1534.63391805452
3148,261635461005002,37230189-f07e-49d3-943c-64c363ba456b,20,2,3,,25,22,3,23,2,0.12,228308.305175781,2023.2727741017
3149,261635466002008,59b25534-9dcc-4ca1-b7af-742752fd56f3,18,,6,,24,18,6,24,0,0.25,212034.469238281,1952.50169742035
3150,261635441001006,cec6bb16-e875-4a6a-8c20-2df65629e5d8,36,,2,,38,36,2,38,0,0.0526315789473684,300928.486572266,2573.33929309082
3151,261635466001009,3c6254e1-041d-4e7a-b6f0-c6c80f5a0a94,18,1,4,1,24,19,5,22,2,0.208333333333333,213102.841064453,1948.27521645147
3152,261635343001004,4e2986c1-2bc2-4b5d-a2f5-603f451a2450,8,2,24,,34,10,24,32,2,0.705882352941177,262405.636962891,2450.19334233681
3153,261635344001000,29e41a66-a5fd-4142-8aec-bf083d29259a,36,,13,,49,36,13,49,0,0.26530612244898,212566.557128906,2140.49155655217
3154,261635390001007,67e9be49-f1e4-4239-b9c6-af66003855fb,3,4,,,7,7,0,3,4,,280550.927734375,2383.11297518431
3155,261635390001008,3503ac3b-c302-40d5-abc8-09d5c7e8f3fd,15,4,3,,22,19,3,18,4,0.136363636363636,277818.217285156,2362.88814759531
3156,261635381001009,5e9a68ec-a3e4-4059-b69a-6ad70665ab22,26,,1,,27,26,1,27,0,0.037037037037037,169853.738769531,1783.30973168336
3157,261635381002018,e8a1a079-625e-4ae7-a5f5-68f13410a506,23,,2,,25,23,2,25,0,0.08,154313.725097656,1628.75786144045
3158,261635381002023,f97814f2-37e2-470d-9a77-0889759bd6bc,43,,4,,47,43,4,47,0,0.0851063829787234,250613.83984375,2270.72473417638
3159,261635081003012,5adeb57c-e4cc-4e50-8deb-fab9d54c061c,2,,16,,18,2,16,18,0,0.888888888888889,220118.239746094,1957.53407354036
3160,261635081001003,1a6f8cd8-6d67-465e-a2bc-f4d49ae638a1,7,,10,,17,7,10,17,0,0.588235294117647,234597.366210938,2295.89585222357
3161,261635081002003,a0810084-e84d-4075-b2a5-d2c82464c1e4,7,8,8,,23,15,8,15,8,0.347826086956522,273378.335449219,2465.44082642019
3162,261635081002001,2ed0b075-2d67-491e-9479-1e79ee17a84f,16,,21,,37,16,21,37,0,0.567567567567568,260813.977050781,2365.25701341385
