OBJECTID,GEOID10,GlobalID,OCC_RES,OCC_BUS,VAC_RES,VAC_BUS,TotalAddresses,TotalOCC,TotalVAC,TotRES,TotBUS,PctVAC,Shape__Area,Shape__Length
1043,261635361004010,0f23dddd-8c22-48fb-94d6-80698be39083,25,1,7,,33,26,7,32,1,0.212121212121212,258158.412597656,2359.93363448295
1044,261635363001010,085b7182-9d1c-4e1e-bce1-9178df9a9992,14,,13,,27,14,13,27,0,0.481481481481481,147505.192871094,1563.90781264264
1045,261635363002004,2070bcf9-779f-4def-b742-ed537a5f6fad,11,,5,,16,11,5,16,0,0.3125,129399.506835938,1443.67398443585
1046,261635361004008,f2d29afa-a0f6-4e82-81c8-de954a2ecfa8,8,5,6,,19,13,6,14,5,0.315789473684211,263683.647460938,2374.25903552276
1047,261635363001000,6e5d84e6-74a3-43a6-89a4-ece5f56c7630,5,3,4,2,14,8,6,9,5,0.428571428571429,252506.647949219,2301.30251157172
1048,261635302004001,7b477fd5-7527-4997-8145-5342c59f714d,,2,3,,5,2,3,3,2,0.6,257103.568847656,2354.906339246
1049,261635302001005,504af0bb-ace5-4934-b364-0d9c6db55653,36,3,2,3,44,39,5,38,6,0.113636363636364,289573.082519531,2413.55754796345
1050,261635302004005,dc9db3ae-2a6f-4908-ba30-a996991e6a3b,62,1,9,,72,63,9,71,1,0.125,348440.58984375,3159.69404694267
1051,261635364004007,215513f5-ff1a-485c-85ae-66daf997ef90,20,,9,,29,20,9,29,0,0.310344827586207,299407.796386719,2586.59096720188
1052,261635351002000,c4a1a6af-31b5-421a-92f5-3b8265cc1590,42,1,3,,46,43,3,45,1,0.0652173913043478,298451.885498047,2428.73872119051
1053,261635250003010,166a1f08-6761-4a11-b3cb-bddee4b41920,,2,,1,3,2,1,0,3,0.333333333333333,204423.215332031,1830.73271635591
1054,261635257004005,826596b4-fdab-4fe4-a02e-c76a2e55ce1a,19,1,3,1,24,20,4,22,2,0.166666666666667,225428.418945313,1939.13821527839
1055,261635256002013,1358d66e-a1cb-403a-9d6a-16def389b910,12,1,1,,14,13,1,13,1,0.0714285714285714,163728.478027344,1614.4555955308
1056,261635256002011,2f61fd8b-160c-4eb4-b03e-614e44e03c35,1,1,,2,4,2,2,1,3,0.5,326138.048828125,4360.018008084
1057,261635250003051,684ce1eb-1dde-4b55-9cc0-8eb31d9a0700,7,,7,2,16,7,9,14,2,0.5625,174252.650146484,1772.95745409281
1058,261635250003031,170d25f1-cc76-4d04-99fd-7e5ab3b0b96c,,1,,1,2,1,1,0,2,0.5,386663.468505859,2705.45851816078
1059,261635322002007,1613087f-bbbc-4caa-b96d-d782470eff38,24,,2,,26,24,2,26,0,0.0769230769230769,307237.35546875,2483.59586749728
1060,261635322002002,08f0b041-4d42-49d7-8d06-ca706421ca23,18,1,4,,23,19,4,22,1,0.173913043478261,306658.794433594,2494.33500575129
1061,261635114002005,c10da768-ff36-49fa-ba94-6f31525057b4,13,1,6,,20,14,6,19,1,0.3,328642.971679688,2542.72947733099
1062,261635114002007,cc31cdc5-53bb-43a9-96e9-5cfba8194374,1,1,,,2,2,0,1,1,,361434.74609375,2642.4863755455
1063,261635324003008,1707a565-6619-42ce-8bbe-85452fc2b086,13,,8,,21,13,8,21,0,0.380952380952381,200540.960205078,1886.77718743614
1064,261635324003005,854aa505-526d-4cc5-915a-c2f148a4bbb9,28,,8,,36,28,8,36,0,0.222222222222222,200134.0546875,1904.79570117646
1065,261635324003004,99d17f97-ae51-4e66-ba5e-b41d9239d079,31,,8,,39,31,8,39,0,0.205128205128205,213023.531738281,1947.67702012508
1066,261635324003003,df81afef-4821-4a01-9707-43d4362302ba,30,,12,1,43,30,13,42,1,0.302325581395349,212839.096679688,1947.62797105252
1067,261635326001002,0492c4db-b0fd-4b4a-b9ef-2a720000ab3a,40,,22,,62,40,22,62,0,0.354838709677419,313000.705322266,2436.6574755036
1068,261635324003002,08d1aa18-594d-41a8-96f8-49be8913ac7e,19,,6,,25,19,6,25,0,0.24,212034.670654297,1941.02945992806
1069,261635326003004,9db13891-b1c8-4f25-892d-b78c7f9e5780,175,1,6,,182,176,6,181,1,0.032967032967033,1662259.43188477,5107.35149562856
1070,261635339002001,efc40d9b-3f11-4a07-b48e-72c82bc72ec6,96,2,6,,104,98,6,102,2,0.0576923076923077,278295.383300781,2138.5518790468
1071,261635114004003,88395e90-11b0-4cfe-afa9-ce17506c159f,24,,8,,32,24,8,32,0,0.25,291863.827148438,2448.47459815937
1072,261635114002015,94184e18-da27-4393-b057-9b09a65df984,3,5,,,8,8,0,3,5,,590849.311035156,3037.43241283838
1073,261635119002002,dd65b30b-00da-41eb-a0fe-dc084ad7e4c2,14,,5,,19,14,5,19,0,0.263157894736842,224548.949707031,2080.25869148097
1074,261635114001034,0f933d8d-cdee-45fe-8442-8ad3a29b11c8,2,,4,,6,2,4,6,0,0.666666666666667,139792.177001953,1602.65064311665
1075,261635119002010,f410c60a-8110-44d5-a84d-c0c842998164,10,2,5,1,18,12,6,15,3,0.333333333333333,218699.516357422,1987.92321478594
1076,261635339001001,00807b8e-2dcb-4586-be0c-4f01d4add294,128,3,10,,141,131,10,138,3,0.0709219858156028,423673.344238281,2747.2803390941
